,chembl_id,IC50,unit,Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
469,CHEMBL4279747,17,nM,CNC(=O)Nc1sc2c(C(C)C)cc(NS(=O)(=O)c3ccn(C)n3)cc2c1C(N)=O,7.769551079,450.1143952,7,4,2.4092,TRUE
470,CHEMBL5177053,17,nM,CC(C)n1cc(Nc2ncc3ccc(=O)n(C(C)C)c3n2)cn1,7.769551079,312.1698593,7,1,2.8934,TRUE
471,CHEMBL3087780,17,nM,Cc1nn(C)cc1-c1nc2c(N3CCC[C@@H](CNS(C)(=O)=O)C3)c(Cl)cnc2[nH]1,7.769551079,437.1400717,7,2,2.08582,TRUE
474,CHEMBL3680584,17,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(N5CCCCC5=O)cc4)c3)ncnc12,7.769551079,494.2066387,6,3,4.11,TRUE
476,CHEMBL215152,17,nM,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,7.769551079,507.239416,8,4,3.4999,TRUE
477,CHEMBL572878,17,nM,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,7.769551079,464.2106785,8,3,3.50322,TRUE
478,CHEMBL4522901,17.3,nM,Cc1cc(Nc2nc(Nc3ccc(C(=O)NC4CC(C)(C)N([O])C(C)(C)C4)cc3)ncc2F)no1,7.761953897,482.231591,8,3,4.49622,TRUE
479,CHEMBL482779,18,nM,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCNCC3)n2)cc1,7.744727495,438.1950285,8,4,3.16102,TRUE
480,CHEMBL429743,18,nM,COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1OC,7.744727495,484.1189848,5,1,7.1032,TRUE
481,CHEMBL2063441,18,nM,Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccccc4)c3)c12,7.744727495,401.1487895,5,4,3.984,TRUE
482,CHEMBL3680497,18,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccnc(NCCO)c4)c3)ncnc12,7.744727495,457.1862376,8,5,2.3923,TRUE
