"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
"MRPS28",3.54431968362041e-10,-0.614682740888442,0.025,0.043,6.45881375946147e-06,"MRPS28","Downregulated"
"PITPNA-AS1",3.58347437359602e-10,-0.681811363793165,0.024,0.042,6.53016535100403e-06,"PITPNA-AS1","Downregulated"
"HSPA1L",3.63560795618308e-10,-0.249057938257002,0.005,0.015,6.62516837855243e-06,"HSPA1L","Not Significant"
"IDH3B",3.64252789692905e-10,-0.121365129537003,0.114,0.148,6.63777858657381e-06,"IDH3B","Not Significant"
"TOR1A",3.6906343885156e-10,-0.330611801850393,0.056,0.082,6.72544304619198e-06,"TOR1A","Downregulated"
"CYB5D2",3.82395972722879e-10,-0.995858462112705,0.012,0.026,6.96840181092903e-06,"CYB5D2","Downregulated"
"SSBP2",3.83372313659864e-10,-0.289971812570271,0.03,0.05,6.9861936718237e-06,"SSBP2","Downregulated"
"METTL26",3.89841551433801e-10,-0.30401088930855,0.108,0.141,7.10408259177816e-06,"METTL26","Downregulated"
"NELFCD",3.95084586453418e-10,-0.351003844230624,0.062,0.089,7.19962641894063e-06,"NELFCD","Downregulated"
"B3GAT3",4.04495903675377e-10,-0.421096043745017,0.073,0.101,7.37112885267639e-06,"B3GAT3","Downregulated"
"METTL18",4.05941631696543e-10,-0.675757965925543,0.017,0.032,7.39747435440611e-06,"METTL18","Downregulated"
"TTI1",4.06162458384995e-10,-1.08210996391543,0.007,0.018,7.40149847914976e-06,"TTI1","Downregulated"
"COX5A",4.23461595866496e-10,-0.11338150570382,0.183,0.224,7.71674066147515e-06,"COX5A","Not Significant"
"TONSL",4.30828654844038e-10,-0.752662337981008,0.01,0.023,7.8509905772229e-06,"TONSL","Downregulated"
"MRPL34",4.4100459565618e-10,-0.144243870633744,0.098,0.131,8.03642674664257e-06,"MRPL34","Not Significant"
"MAS1",4.43494972665221e-10,-1.56689060417512,0.004,0.013,8.08180888687833e-06,"MAS1","Downregulated"
"DENND1C",4.4368166610713e-10,-0.434228662623087,0.066,0.093,8.08521100147024e-06,"DENND1C","Downregulated"
